date,BOM Data,Weather Station Data
10/06/2019 08:00,14.19,228.51
10/06/2019 09:00,14.19,307.98
10/06/2019 10:00,14.19,350.73
10/06/2019 11:00,14.19,357.58
10/06/2019 12:00,14.19,317.1
10/06/2019 13:00,14.19,88.11
10/06/2019 14:00,14.19,50.085
10/06/2019 15:00,14.19,100.675
10/06/2019 16:00,14.19,33.415
10/06/2019 17:00,14.19,0.0
10/06/2019 18:00,14.19,0.0
10/06/2019 19:00,14.19,0.0
10/06/2019 20:00,14.19,0.0
10/06/2019 21:00,14.19,0.0
10/06/2019 22:00,14.19,0.0
10/06/2019 23:00,14.19,0.0
11/06/2019 00:00,14.36,0.0
11/06/2019 01:00,14.36,0.0
11/06/2019 02:00,14.36,0.0
11/06/2019 03:00,14.36,0.0
11/06/2019 04:00,14.36,0.0
11/06/2019 05:00,14.36,0.0
11/06/2019 06:00,14.36,0.0
11/06/2019 07:00,14.36,0.0
11/06/2019 08:00,14.36,0.0
11/06/2019 09:00,14.36,0.0
11/06/2019 10:00,14.36,0.0
11/06/2019 11:00,14.36,0.0
11/06/2019 12:00,14.36,0.0
11/06/2019 13:00,14.36,0.0
11/06/2019 14:00,14.36,0.0
11/06/2019 15:00,14.36,0.0
11/06/2019 16:00,14.36,0.0
11/06/2019 17:00,14.36,0.0
11/06/2019 18:00,14.36,0.0
11/06/2019 19:00,14.36,0.0
11/06/2019 20:00,14.36,0.0
11/06/2019 21:00,14.36,0.0
11/06/2019 22:00,14.36,0.0
11/06/2019 23:00,14.36,0.0
12/06/2019 00:00,12.27,0.0
12/06/2019 01:00,12.27,0.0
12/06/2019 02:00,12.27,0.0
12/06/2019 03:00,12.27,0.0
12/06/2019 04:00,12.27,0.0
12/06/2019 05:00,12.27,0.0
12/06/2019 06:00,12.27,0.0
12/06/2019 07:00,12.27,0.0
12/06/2019 08:00,12.27,0.0
12/06/2019 09:00,12.27,0.0
12/06/2019 10:00,12.27,0.0
12/06/2019 11:00,12.27,0.0
12/06/2019 12:00,12.27,0.0
12/06/2019 13:00,12.27,0.0
12/06/2019 14:00,12.27,0.0
12/06/2019 15:00,12.27,0.0
12/06/2019 16:00,12.27,0.0
12/06/2019 17:00,12.27,0.0
12/06/2019 18:00,12.27,0.0
12/06/2019 19:00,12.27,0.0
12/06/2019 20:00,12.27,0.0
12/06/2019 21:00,12.27,0.0
12/06/2019 22:00,12.27,0.0
12/06/2019 23:00,12.27,0.0
13/06/2019 00:00,9.42,0.0
13/06/2019 01:00,9.42,0.0
13/06/2019 02:00,9.42,0.0
13/06/2019 03:00,9.42,0.0
13/06/2019 04:00,9.42,0.0
13/06/2019 05:00,9.42,0.0
13/06/2019 06:00,9.42,0.0
13/06/2019 07:00,9.42,0.0
13/06/2019 08:00,9.42,0.0
13/06/2019 09:00,9.42,0.0
13/06/2019 10:00,9.42,0.0
13/06/2019 11:00,9.42,0.0
13/06/2019 12:00,9.42,0.0
13/06/2019 13:00,9.42,0.0
13/06/2019 14:00,9.42,0.0
13/06/2019 15:00,9.42,0.0
13/06/2019 16:00,9.42,0.0
13/06/2019 17:00,9.42,0.0
13/06/2019 18:00,9.42,0.0
13/06/2019 19:00,9.42,0.0
13/06/2019 20:00,9.42,0.0
13/06/2019 21:00,9.42,0.0
13/06/2019 22:00,9.42,0.0
13/06/2019 23:00,9.42,0.0
14/06/2019 00:00,14.3,0.0
14/06/2019 01:00,14.3,0.0
14/06/2019 02:00,14.3,0.0
14/06/2019 03:00,14.3,0.0
14/06/2019 04:00,14.3,0.0
14/06/2019 05:00,14.3,0.0
14/06/2019 06:00,14.3,0.0
14/06/2019 07:00,14.3,0.0
14/06/2019 08:00,14.3,0.0
14/06/2019 09:00,14.3,0.0
14/06/2019 10:00,14.3,0.0
14/06/2019 11:00,14.3,0.0
14/06/2019 12:00,14.3,0.0
14/06/2019 13:00,14.3,0.0
14/06/2019 14:00,14.3,0.0
14/06/2019 15:00,14.3,0.0
14/06/2019 16:00,14.3,0.0
14/06/2019 17:00,14.3,0.0
14/06/2019 18:00,14.3,0.0
14/06/2019 19:00,14.3,0.0
14/06/2019 20:00,14.3,0.0
14/06/2019 21:00,14.3,0.0
14/06/2019 22:00,14.3,0.0
14/06/2019 23:00,14.3,0.0
15/06/2019 00:00,14.28,0.0
